Country,EIRank,EducationIndex,ExpectedYears,MeanYears,HDI
Australia,1,0.939,20.4,13.2,2
Denmark,2,0.923,19.2,12.7,5
New Zealand,3,0.917,19.2,12.5,13
Norway,4,0.916,17.7,12.7,1
Germany,5,0.914,17.1,13.2,4
Ireland,6,0.91,18.6,12.3,8
Iceland,7,0.906,19,12.2,9
United States,8,0.9,16.5,13.2,10
Netherlands,9,0.897,18.1,11.9,7
United Kingdom,10,0.896,16.3,13.3,16
Switzerland,11,0.891,16,13.4,2
Canada,12,0.89,16.3,13.1,10
Slovenia,13,0.886,17.3,12.1,25
Lithuania,14,0.882,16.5,12.7,37
Czech Republic,15,0.878,16.8,12.3,28
Estonia,16,0.877,16.5,12.5,30
Israel,17,0.87,16,12.8,19
South Korea,18,0.867,16.6,12.2,18
Sweden,19,0.855,16.1,12.3,14
Poland,20,0.852,16.4,11.9,36
Finland,21,0.847,17,11.2,23
Japan,22,0.842,15.3,12.5,17
Belgium,23,0.841,16.6,11.4,22
France,24,0.839,16.3,11.6,21
Latvia,25,0.835,16,11.7,44
Belarus,26,0.834,15.7,12,52
Hungary,26,0.834,15.6,12,43
Greece,28,0.83,17.2,10.5,29
Slovakia,29,0.823,15,12.2,40
Hong Kong,30,0.822,15.7,11.6,12
Austria,31,0.82,15.9,11.3,24
Liechtenstein,32,0.818,14.6,12.4,15
Spain,32,0.818,17.7,9.8,27
Russian Federation,34,0.816,15,12,49
Italy,35,0.814,16.3,10.9,26
Singapore,35,0.814,15.4,11.6,5
Argentina,37,0.808,17.3,9.8,45
Palau,37,0.808,14.3,12.3,60
Kazakhstan,39,0.805,15,11.7,56
Ukraine,40,0.803,15.3,11.3,84
Croatia,41,0.798,15.3,11.2,45
Montenegro,42,0.797,15.1,11.3,48
Georgia,43,0.794,13.9,12.2,70
Cyprus,44,0.786,14.3,11.7,33
Chile,45,0.784,16.3,9.9,38
Luxembourg,46,0.783,13.9,12,20
Malta,47,0.781,14.6,11.3,33
Cuba,48,0.779,13.9,11.8,68
Bulgaria,49,0.778,15,10.8,56
